               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.036949,             0.01779,            0.011271,             0.86736,              0.8652,             0.92021,             0.54472,            0.029357,           0.0064616,           0.0022676,            0.004753,            0.004753,            0.004753
                  55,            0.036875,            0.018374,            0.010848,             0.86791,             0.89493,             0.92035,              0.5701,            0.028579,           0.0064401,           0.0025088,            0.004654,            0.004654,            0.004654
                  56,            0.036538,            0.018924,            0.011166,              0.8557,             0.86292,              0.8911,             0.52609,            0.032793,           0.0067945,           0.0032871,            0.004555,            0.004555,            0.004555
                  57,            0.035028,            0.018222,            0.010741,             0.85823,             0.91109,             0.94071,             0.58087,            0.027839,           0.0064316,           0.0021475,            0.004456,            0.004456,            0.004456
                  58,            0.035711,            0.018246,           0.0098855,             0.87379,             0.90844,             0.94206,             0.56855,             0.02797,           0.0062193,           0.0019167,            0.004357,            0.004357,            0.004357
                  59,            0.036112,            0.018014,            0.011391,             0.86599,             0.90242,             0.94278,             0.57933,            0.027642,           0.0062823,           0.0025424,            0.004258,            0.004258,            0.004258
                  60,            0.035964,            0.017304,            0.010371,             0.86355,             0.89493,             0.94231,              0.5929,             0.02637,           0.0061432,           0.0020602,            0.004159,            0.004159,            0.004159
                  61,            0.035636,            0.018258,            0.010165,             0.89458,              0.8741,             0.94029,             0.57881,            0.027398,           0.0061278,           0.0020685,             0.00406,             0.00406,             0.00406
                  62,            0.035173,             0.01767,            0.010196,             0.91237,             0.89539,             0.94496,             0.60503,            0.026271,           0.0060224,           0.0019666,            0.003961,            0.003961,            0.003961
                  63,            0.034692,            0.017645,            0.010494,             0.88949,             0.91143,             0.94056,              0.6018,            0.026835,            0.006117,           0.0018408,            0.003862,            0.003862,            0.003862
                  64,            0.034821,            0.017516,            0.010514,             0.86628,             0.90888,             0.94598,             0.60129,            0.026294,            0.006022,           0.0020377,            0.003763,            0.003763,            0.003763
                  65,            0.034238,             0.01711,           0.0096937,             0.90438,              0.9205,             0.96146,             0.59858,             0.02656,           0.0060242,           0.0017625,            0.003664,            0.003664,            0.003664
                  66,            0.034206,            0.017111,            0.010099,             0.90396,             0.91707,             0.96231,             0.61733,            0.025981,           0.0059719,           0.0016556,            0.003565,            0.003565,            0.003565
                  67,            0.033551,            0.018096,           0.0091017,             0.91233,             0.93396,             0.96269,             0.63606,             0.02592,           0.0058151,           0.0015109,            0.003466,            0.003466,            0.003466
                  68,            0.032205,            0.017844,           0.0089522,             0.88555,             0.92601,             0.95757,             0.61904,            0.025899,           0.0058027,           0.0015103,            0.003367,            0.003367,            0.003367
                  69,            0.033307,            0.017314,           0.0091369,             0.89914,             0.92355,             0.95555,             0.62244,            0.025659,            0.005816,            0.001472,            0.003268,            0.003268,            0.003268
                  70,             0.03344,            0.017444,            0.010474,             0.89149,             0.92704,             0.95494,             0.60573,            0.026411,           0.0058242,           0.0014292,            0.003169,            0.003169,            0.003169
                  71,            0.033615,            0.017509,           0.0092089,             0.88804,             0.92514,             0.95605,             0.60781,            0.026444,           0.0059167,           0.0013586,             0.00307,             0.00307,             0.00307
                  72,            0.034132,            0.017622,           0.0096254,             0.90247,             0.92458,             0.96296,             0.63713,            0.024952,             0.00578,           0.0015135,            0.002971,            0.002971,            0.002971
                  73,            0.032322,            0.017064,            0.010327,             0.91594,             0.92914,             0.96444,             0.64863,            0.024525,           0.0056242,            0.001271,            0.002872,            0.002872,            0.002872
                  74,            0.032027,            0.017741,           0.0089022,             0.91168,             0.92159,             0.96164,             0.64857,            0.024296,           0.0057137,           0.0013325,            0.002773,            0.002773,            0.002773
                  75,            0.032476,             0.01743,            0.010211,             0.91437,             0.91998,             0.96147,             0.63712,             0.02494,           0.0057627,           0.0013668,            0.002674,            0.002674,            0.002674
                  76,            0.033367,            0.017475,            0.010956,             0.92554,             0.93861,             0.97161,             0.66442,            0.024684,            0.005571,           0.0013606,            0.002575,            0.002575,            0.002575
                  77,            0.032285,            0.017381,           0.0098342,             0.91541,              0.9382,             0.96948,             0.65857,            0.024507,           0.0055893,            0.001272,            0.002476,            0.002476,            0.002476
                  78,            0.032126,            0.017181,           0.0087865,              0.9098,             0.93255,             0.95825,             0.62773,             0.02503,           0.0056436,            0.001234,            0.002377,            0.002377,            0.002377
                  79,            0.030805,              0.0167,           0.0084905,             0.90986,             0.93459,             0.96964,             0.65985,            0.024082,           0.0055478,            0.001135,            0.002278,            0.002278,            0.002278
                  80,            0.030678,            0.017054,           0.0091664,              0.9082,             0.93053,             0.97077,             0.68531,            0.023316,           0.0053975,           0.0010876,            0.002179,            0.002179,            0.002179
                  81,            0.030094,            0.016829,           0.0090741,             0.90356,             0.93415,             0.96919,             0.67994,            0.023056,           0.0054449,           0.0011377,             0.00208,             0.00208,             0.00208
                  82,            0.031006,            0.016771,           0.0095601,             0.91432,              0.9347,             0.96926,             0.68745,            0.022453,           0.0054232,           0.0011659,            0.001981,            0.001981,            0.001981
                  83,            0.029696,            0.016969,           0.0086413,             0.91848,             0.93613,             0.97175,             0.68246,            0.022656,           0.0053961,           0.0010549,            0.001882,            0.001882,            0.001882
                  84,            0.031342,            0.016674,           0.0079805,             0.93178,             0.92494,             0.96922,              0.6671,            0.023227,           0.0054654,           0.0010422,            0.001783,            0.001783,            0.001783
                  85,             0.03085,            0.016774,           0.0091739,             0.89741,             0.93322,             0.95825,              0.6487,            0.023771,           0.0054792,           0.0011186,            0.001684,            0.001684,            0.001684
                  86,             0.03074,            0.016433,           0.0080754,             0.91022,             0.93979,             0.96955,              0.6807,            0.022715,           0.0053173,          0.00098439,            0.001585,            0.001585,            0.001585
                  87,            0.030306,            0.017081,           0.0096932,             0.91969,             0.94086,             0.97489,              0.6929,            0.022909,           0.0052997,          0.00096533,            0.001486,            0.001486,            0.001486
